Quarter,Day,ACO,AL,ICO,IL,TCO,TL,Total,CACO,CAL,CICO,CIL,CCO,CL,Total culummative store
1,30/12/2012,30,50,27,105,57,155,212,7887,5096,1575,3720,9462,8816,18278
2,31/03/2013,25,70,368,127,393,197,590,7895,5100,1960,3913,9855,9013,18868
3,30/06/2013,63,95,76,107,139,202,341,7958,5195,2036,4020,9994,9215,19209
4,29/09/2013,164,176,80,138,244,314,558,8078,5415,2116,4158,10194,9573,19767
1,29/12/2013,27,115,71,204,98,319,417,8105,5530,2187,4362,10292,9892,20184
2,30/03/2014,59,69,58,149,117,218,335,8164,5599,2230,4526,10394,10125,20519
3,29/06/2014,69,80,52,143,121,223,344,8233,5679,2282,4669,10515,10348,20863
4,28/09/2014,162,117,72,152,234,269,503,8395,5796,2318,4857,10713,10653,21366
1,28/12/2014,67,143,1073,-771,1140,-628,512,8462,5939,3391,4086,11853,10025,21878
2,29/03/2015,52,-54,50,162,102,108,210,8514,5885,3441,4248,11955,10133,22088
3,28/06/2015,68,103,72,188,140,291,431,8582,5988,3513,4436,12095,10424,22519
4,27/09/2015,89,144,51,240,140,384,524,8671,6132,3564,4676,12235,10808,23043
1,27/12/2015,81,90,50,307,131,397,528,8752,6222,3614,4983,12366,11205,23571
2,27/03/2016,38,94,40,178,78,272,350,8790,6316,3654,5161,12444,11477,23921
3,26/06/2016,85,109,-73,353,12,462,474,8875,6425,3581,5514,12456,11939,24395
4,02/10/2016,144,163,111,272,255,435,690,9019,6588,3692,5786,12711,12374,25085
1,01/01/2017,75,176,84,314,159,490,649,9094,6764,3776,6100,12870,12864,25734
2,02/04/2017,82,118,60,167,142,285,427,9176,6882,3836,6267,13012,13149,26161
3,02/06/2017,125,119,112,219,237,338,575,9301,7001,3948,6486,13249,13487,26736
4,01/10/2017,112,145,-86,432,26,577,603,9413,7146,3862,6918,13275,14064,27339
1,31/12/2017,112,166,1612,-1190,1724,-1024,700,9525,7312,5474,5728,14999,13040,28039
2,01/04/2018,-29,216,-158,141,-187,357,170,9496,7528,5316,5869,14812,13397,28209
3,01/06/2018,94,86,164,167,258,253,511,9590,7614,5480,6036,15070,13650,28720
4,30/09/2018,94,156,177,177,271,333,604,9684,7770,5657,6213,15341,13983,29324
1,30/12/2018,84,106,191,160,275,266,541,9768,7876,5848,6373,15616,14249,29865
2,31/03/2019,-1,67,40,213,39,280,319,9767,7943,5888,6586,15655,14529,30184
3,30/06/2019,82,53,-234,541,-152,594,442,9849,7996,5654,7127,15503,15123,30626
4,29/09/2019,117,97,214,202,331,299,630,9974,8093,5860,7329,15834,15422,31256
1,29/12/2019,46,90,199,204,245,294,539,10020,8183,6059,7533,16079,15716,31795
2,29/03/2020,31,37,78,109,109,146,255,10051,8220,6137,7642,16188,15862,32050
3,28/06/2020,-34,-2,117,49,83,47,130,10017,8218,6254,7691,16271,15909,32180
4,27/09/2020,92,27,274,87,366,114,480,10109,8245,6528,7778,16637,16023,32660
1,27/12/2020,-80,34,185,139,105,173,278,10029,8279,6713,7917,16742,16196,32938
2,28/03/2021,-209,21,123,70,-86,91,5,9820,8300,6836,7987,16656,16287,32943
3,27/06/2021,40,15,177,120,217,135,352,9860,8315,7013,8107,16873,16422,33295
4,03/10/2021,1,73,259,205,260,278,538,9861,6965,7272,9735,17133,16700,33833
1,02/01/2022,39,23,213,209,252,232,484,9900,6988,7485,9944,17385,16932,34317
2,03/04/2022,54,-16,102,173,156,157,313,9954,6972,7587,10117,17541,17089,34630
3,03/07/2022,96,28,130,64,226,92,318,10050,7000,7717,10181,17767,17181,34948
4,02/10/2022,166,79,320,198,486,277,763,10216,7079,8037,10379,18253,17458,35711
1,01/01/2023,40,46,97,276,137,322,459,10256,7125,8134,10655,18390,17780,36170
2,02/04/2023,91,10,174,189,265,199,464,10347,7135,8308,10844,18655,17979,36634
3,02/07/2023,105,5,272,206,377,211,588,10452,7140,8580,11050,19032,18190,37222
4,01/10/2023,176,42,384,214,560,256,816,10628,7182,8964,11264,19592,18446,38038
1,31/12/2023,87,34,186,242,273,276,549,10715,7216,9150,11506,19865,18722,38587
2,31/03/2024,112,22,132,98,244,120,364,10827,7238,9282,11604,20109,18842,38951
3,30/06/2024,113,20,244,149,357,169,526,10940,7258,9526,11753,20466,19011,39477
